id	filename	md5	size	state
0042d9ae-e8f9-40ab-bcfd-8a0ca839df70	0042d9ae-e8f9-40ab-bcfd-8a0ca839df70/TATTY_p_TCGA_b52_156_SNP_N_GenomeWideSNP_6_B12_808922.grch38.seg.v2.txt	6e674910c48e6802dfcf15f78b033979	28588	validated
005633a9-bb87-43ef-9f87-64f57dd9f469	005633a9-bb87-43ef-9f87-64f57dd9f469/BUNGS_p_TCGA_257_258_N_GenomeWideSNP_6_D11_1301070.grch38.seg.v2.txt	94eac728af30e75ec5c7735b01e0ddb0	20236	validated
006679a6-4e37-4b6a-89b2-7c14861e8238	006679a6-4e37-4b6a-89b2-7c14861e8238/PALLS_p_TCGASNP_213_N_GenomeWideSNP_6_B12_1148148.grch38.seg.v2.txt	8c08f307ccb7ed99d388822a531e9f3d	24290	validated
00b32bb6-8478-4869-9fd1-54ef74325111	00b32bb6-8478-4869-9fd1-54ef74325111/TATTY_p_TCGA_b52_156_SNP_N_GenomeWideSNP_6_C01_809070.grch38.seg.v2.txt	b18766c17985b19555e7375ecd066d8c	21737	validated
00b79ebc-f2e4-4c9f-a1b7-beae9a37454f	00b79ebc-f2e4-4c9f-a1b7-beae9a37454f/DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F06_771634.grch38.seg.v2.txt	05bc8b34be0a2141201419eb2f63b31d	52091	validated
00f8128f-01fb-46a5-a4fc-591907b3d51a	00f8128f-01fb-46a5-a4fc-591907b3d51a/DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_B07_771566.grch38.seg.v2.txt	261dd3bba64fa3502c8a60071eda5150	20370	validated
01d0adea-7f62-4841-a9dd-670484dfde86	01d0adea-7f62-4841-a9dd-670484dfde86/EGGAR_p_TCGAb33and37_SNP_N_GenomeWideSNP_6_B01_585118.grch38.seg.v2.txt	ad1a86272c7f49ae5580944f84181a16	49379	validated
036d7acf-c341-4947-ad41-3447df724721	036d7acf-c341-4947-ad41-3447df724721/DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_G11_771644.grch38.seg.v2.txt	2a4439f4331b341b692bcda997f588d4	42763	validated
03a7fa67-c600-4256-8841-cb179fd787eb	03a7fa67-c600-4256-8841-cb179fd787eb/DRAMA_p_TCGA_276_278_N_GenomeWideSNP_6_B08_1322406.grch38.seg.v2.txt	1edb63eb1b1589a18ed5a39b72403ce4	90904	validated
04ac9723-f0ec-449c-bdbc-e03a37e314ef	04ac9723-f0ec-449c-bdbc-e03a37e314ef/IMPLY_p_TCGA_b127_144_SNP_N_GenomeWideSNP_6_A11_808416.grch38.seg.v2.txt	5e0c760d2ca795dc01256113f7e17c99	35825	validated
04d3fa96-e143-4cf4-8d6c-cf8044b8a4e8	04d3fa96-e143-4cf4-8d6c-cf8044b8a4e8/BURST_p_TCGA_b119_SNP_N_GenomeWideSNP_6_F09_787236.grch38.seg.v2.txt	01fcaf1800ae568a90ce9290b63d7531	47083	validated
04f56b82-0a1e-41e7-84a7-9c2ea651213b	04f56b82-0a1e-41e7-84a7-9c2ea651213b/GLIAS_p_TCGA_204_205_206_207_N_GenomeWideSNP_6_G11_1051850.grch38.seg.v2.txt	45ed7c9eb2cf097816073978f5d1bbc6	19810	validated
0500d0ea-cb96-4f7e-aeac-1af711b9b497	0500d0ea-cb96-4f7e-aeac-1af711b9b497/PALLS_p_TCGASNP_213_N_GenomeWideSNP_6_G08_1148162.grch38.seg.v2.txt	a80293913496a76b39896929f6bfde42	32136	validated
063c4a85-ba33-45cb-bef5-80d00abc2196	063c4a85-ba33-45cb-bef5-80d00abc2196/TAROK_p_TCGA_264_N_GenomeWideSNP_6_E09_1306518.grch38.seg.v2.txt	f57f64f79ab3f07835e1edf2ca55c327	30135	validated
064bb70b-890d-4f27-a880-6439a6e3336d	064bb70b-890d-4f27-a880-6439a6e3336d/BROSE_p_TCGASNP_195_196_197_N_GenomeWideSNP_6_H10_1039680.grch38.seg.v2.txt	2da499c43853055a49fc823a688a7457	30880	validated
064f9905-66c8-4308-a700-e5efdbeb984a	064f9905-66c8-4308-a700-e5efdbeb984a/DUNGS_p_TCGA_b84_115_SNP_N_GenomeWideSNP_6_F08_771620.grch38.seg.v2.txt	0ff416f0ff9924c4b48e24bb10b0cad2	49019	validated
066d5c6a-9ca1-4627-9834-0be8f1aeb549	066d5c6a-9ca1-4627-9834-0be8f1aeb549/HILLY_p_TCGA_b90_wRedos_SNP_N_GenomeWideSNP_6_D09_748136.grch38.seg.v2.txt	65be7a93feb149cb23093435da89315a	28439	validated
06897553-4d83-4d45-a7df-2e4f0cc56d51	06897553-4d83-4d45-a7df-2e4f0cc56d51/RAMIE_p_6TCGA_250_232_4_236_N_GenomeWideSNP_6_A10_1245244.grch38.seg.v2.txt	74f6dd1d599a96b65857688eb9e42ec2	28794	validated
069bc18f-9059-4cde-b612-ccc6344236a3	069bc18f-9059-4cde-b612-ccc6344236a3/NULLS_p_TCGA_183_185_186_SNP_N_GenomeWideSNP_6_D09_914232.grch38.seg.v2.txt	584de78fec53f14f892fcab5249b3c2a	103709	validated
06b0cba3-ad65-40f0-93e2-bd59e164b08f	06b0cba3-ad65-40f0-93e2-bd59e164b08f/GLYPH_p_TCGA_135_141_166_SNP_N_GenomeWideSNP_6_F04_902824.grch38.seg.v2.txt	35d5f2f7c01abd6cf994614f8a6c1093	21594	validated
06ff4238-b340-41d2-9067-7d2b4f842254	06ff4238-b340-41d2-9067-7d2b4f842254/DRAMA_p_TCGA_276_278_N_GenomeWideSNP_6_A11_1322520.grch38.seg.v2.txt	4bb77844cd7f9ed6b490038bfdd39bd7	30596	validated
